codigo;AplicaSN;CST00;CST02;CST10;CST15;CST20;CST30;CST40;CST41;CST50;CST51;CST53;CST60;CST61;CST70;CST90;Dispositivo;descricao;Observacao
SP054011;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-M do RICMS;Diferimento - Saida interna de mercadoria destinada a sociedade de proposito especifico, localizada neste Estado, para posterior fornecimento como materia-prima ou produto intermediario na fabricacao de medicamento pela Fundacao para o Remedio Popular - F;
SP054012;SIM;;;;;;;;;SIM;;;;;;;Artigo 400-N do RICMS;Suspensao - Desembaraco aduaneiro de mercadoria, sem similar produzida no pais, destinada a sociedade de proposito especifico, localizada neste Estado, para posterior fornecimento como materiaprima ou produto intermediario na fabricacao de medicamento pel;
SP054013;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-O do RICMS;Diferimento - Saidas internas de nafta para petroquimica, NCM 2710.12.41;
SP054014;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-P do RICMS;Diferimento - Saidas internas de etileno, NCM 2901.21.00, e propeno, NCM 2901.22.00, destinadas a estabelecimento fabricante de polietileno, NCM 39.01, polipropileno, NCM 39.02, e policloreto de vinila, NCM 39.04;
SP054015;SIM;;;;;;;;;SIM;;;;;;;Artigo 400-S do RICMS;Suspensao - Desembaraco aduaneiro de nafta para petroquimica, NCM 2710.12.41, etileno, NCM 2901.21.00, e propeno, NCM 2901.22.00, quando a importacao for efetuada diretamente por estabelecimento fabricante das referidas mercadorias ou de polietileno, NCM ;
SP054016;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-T do RICMS;Diferimento - Saida interna, promovida pelo estabelecimento fabricante, de mercadoria utilizada como embalagem para acondicionamento de leite esterilizado ?longa vida? (UHT ? Ultra High Temperature), classificada nos codigos 3920.10.99, 3923.30.00 e 4811.;
SP054017;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-U do RICMS;Diferimento - Saida interna de mercadoria utilizada como materia-prima ou produto intermediario na fabricacao de embarcacoes para esporte e lazer, classificadas na posicao 8903 da Nomenclatura Comum do MERCOSUL - NCM, com destino a fabricante das referida;
SP054018;SIM;;;;;;;;;SIM;;;;;;;Artigo 400-V do RICMS;"Suspensao - Desembaraco aduaneiro de mercadoria, sem similar produzida no pais, utilizada como materia-prima ou produto intermediario na fabricacao das embarcacoes indicadas no ""caput"" do artigo 400-U, quando a importacao for efetuada diretamente por esta";
SP054019;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-W do RICMS;Diferimento - Saida interna de insumos agropecuarios indicados no ı 1ß do Artigo 400-W do RICMS, realizada por estabelecimento centralizador de aquisicao de insumos que pertenca a sociedade que exerca exclusivamente atividade agropecuaria, com destino a e;
SP054021;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-X do RICMS;Diferimento - Saida interna, promovida pelo estabelecimento fabricante, de ?stand up pouche? para embalagens de atomatados ou vegetais (NCM 3921.90.19 e 3923.29.10), de latas proprias para serem fechadas por soldadura ou cravacao - proprias para acondicio;
SP054023;SIM;;;;;;;;;;SIM;;;;;;Artigo 400-Y do RICMS;Diferimento - Saida interna promovida pelo estabelecimento fabricante de partes, pecas, componentes, materias-primas e materiais de embalagem com destino a estabelecimento fabricante beneficiado pelo Programa de Apoio ao Desenvolvimento Tecnologico da Ind;
SP054024;SIM;;;;;;;;;SIM;;;;;;;Artigo 400-Z do RICMS;Suspensao - Desembaraco aduaneiro de partes, pecas, componentes e materias-primas, quando a importacao for efetuada diretamente por estabelecimento fabricante beneficiado pelo Programa de Apoio ao Desenvolvimento Tecnologico da Industria de Semicondutores;
